Name,Phone Number,Tags
Nothing Before Coffee,+918826934882,"Cafe, Coffee, Shake, Beverages, Desserts"
The Chai Factory,+919315770194,"Tea, Beverages, Sandwich, Street Food, Desserts"
Fruitto Fresh,+917011792303,"Juices, Shake"
Aggarwal Sweets N Bake,+918448506669,"Mithai, Bakery, Fast Food, Desserts"
The Dessart Gallery - By Veg Gulati,+911141688837,"Fast Food, Salad, Street Food, Desserts, Beverages, North Indian"
Dunkin' - Donuts & Coffee,+911141523636,"Desserts, Coffee, Bakery, Beverages"
Desi Mojo,+918588006530,"North Indian, South Indian, Chinese, Beverages, Continental, Desserts"
The Waffle Street,+918699008622,"Waffle, Pancake, Ice Cream, Beverages"
Bangla Foods,+911123361246,"North Indian, South Indian, Fast Food, Street Food, Chinese, BBQ, Desserts, Beverages"
"Faasos - Wraps, Rolls & Shawarma",+917700020020,"Rolls, Wraps, Shawarma"
Sardarji's Kitchen,+919811708988,"North Indian, Chinese, Pizza, Fast Food"
Beni Sweets Corner & Restaurant,+919811100486,"Mithai, Desserts, North Indian, South Indian, Chinese, Rolls, Street Food, Biryani"
Minus 30,+918595314871,Ice Cream
Keventers Ice Cream,+918178810037,"Ice Cream, Desserts"
Giani,+911147010952,"Ice Cream, Desserts, Shake, Beverages"
Valentino Pizzeria by Nirula's,+911141001682,"Pizza, Pasta, Sandwich, Italian, Shake, Beverages, Ice Cream, Desserts"
Toffee Bar,+919868410085,"Fast Food, Beverages, Ice Cream"
Veg Meals by Lunchbox,+912250629185,"North Indian, Biryani, Mughlai"
Prem Di Hatti,+919355999885,"North Indian, Desserts, Beverages"
Chopper's Stop,+919625434609,"Chinese, Momos, Asian"
Classic,+919810090984,"Ice Cream, Desserts, Fast Food, Street Food, Burger, Sandwich, Beverages"
Sunny's Juices & Shakes,+919811300113,"Juices, Beverages, Ice Cream, Shake"
Juneja Sweets,+911126218262,"Mithai, Street Food"
Havmor Ice Cream,+919289346037,Ice Cream
Its Juice Time,+918130446347,"Juices, Shake, Ice Cream"
Vadilal Ice Creams,+918826078560,"Ice Cream, Desserts"
Bistro 57,+919319531299,"Pizza, Coffee, Sandwich, Pasta, Momos, Waffle, Shake, Burger"
The Yellow Bite,+919540103310,"Fast Food, Burger, Sandwich, Wraps, Beverages, Salad"
Haagen Dazs Ice Cream & Desserts,+918595314871,"Ice Cream, Desserts"
Hello Canteen,+918527482788,"Rolls, Fast Food, Momos, Shake"
Minus 30,+918595314871,"Ice Cream, Desserts"
Sri Krishna Udupi,+918447684345,"South Indian, Chinese, North Indian, Biryani, Beverages, Ice Cream"
Jigarthanda House,+918871826091,"Shake, Beverages"
Soft & Sweet Bites,+919625156979,"Desserts, Bakery"
Meethi,+919999618000,"Mithai, Fast Food, Street Food, Desserts, Beverages"
Best Bakery,+918122736661,"Bakery, Juices, Tea"
Cake Cruz,+919650323323,"Bakery, Desserts"
Shreyo's,+919354338729,"Rolls, Biryani"
Rollcano,+918527482788,"Rolls, Shake"
Nothing Before Coffee,+918619838246,"Coffee, Street Food, Shake, Tea, Desserts, Beverages"
Amyra's Kitchen,+919711895553,"Continental, Pizza, Burger, Beverages, Shake, Coffee, Desserts"
Bhappe De Chhole Bhature,+918527482788,"North Indian, Beverages"
Smoor,+917459991493,"Desserts, Bakery, Beverages, Shake"
Delhi Baking Story,+919810222150,Bakery
The Bakeish Girl,+919891768147,Bakery
Muara Bake,+917011670061,"Bakery, Desserts, Sandwich, Shake"
Sardar-Ji-Bakhsh Coffee,+917303048486,"Coffee, Shake, Burger"
Third Wave Coffee,+918095799943,"Cafe, Coffee, Tea, Beverages, Sandwich, Fast Food, Desserts, Pizza"
Burger Time,+918882027726,"Burger, Fast Food, Ice Cream, Beverages, Shake"
Kings Kulfi,+919871535462,"Beverages, Shake"
Pret A Manger,+918920748163,"Cafe, Coffee, Fast Food, Desserts, Tea, Sandwich, Beverages"
BBH - Bigg Buzz House,+918882027726,"Burger, Fast Food, Beverages"
The Chaat Walk,+919634130484,"North Indian, Chinese, South Indian, Street Food, Fast Food, Momos, Shake, Beverages"
India Grill - Hilton Garden Inn,+919716836509,"North Indian, Chinese, Continental"
Havmor Ice Cream,+918826078560,Ice Cream
Bahu-Belly,+919625434609,"North Indian, Rolls, Kebab, Momos, Chinese"
Natural Ice Cream,+919152987510,"Ice Cream, Shake"
Gokulam,+919581155555,"South Indian, Beverages, Coffee"
Hill Chillz 26,+919899666743,"Ice Cream, Desserts, Beverages, Shake"
Cafe 6,+918178587810,"Sandwich, Pasta, Rolls, Burger, Fast Food, Shake, Coffee, Beverages"
Theos,+918750252224,"Bakery, Desserts, Sandwich, Beverages"
Kaleva,+917982234844,"Mithai, Street Food, Desserts"
Swagat - Food Pallette Of India,+918588006530,"North Indian, Chinese, Street Food, Sandwich, Fast Food, Shake, Desserts, Beverages"
Artiste Handcrafted Ice Cream,+917042411904,"Desserts, Ice Cream"
Mohan Ji Bakers,+919716182747,"Bakery, Desserts, Healthy Food"
Jaatre,+918448765547,"Desserts, Ice Cream"
NIC Ice Creams,+919162544815,"Ice Cream, Desserts"
New Chander Sweets And Caterers,+918800226605,Mithai
Juggernaut,+917367971895,"South Indian, North Indian, Chinese, Fast Food, Street Food, Desserts, Coffee, Beverages"
Mahor Patty World,+919354135044,"Fast Food, North Indian, Burger, Sandwich, Pasta, Desserts"
Walls Of Waffle - WOW,+919354828563,"Waffle, Pancake, Fast Food, Street Food, Shake, Beverages"
Bloom Cafe & Cakery,+919650018246,"Cafe, Bakery, Sandwich, Fast Food, Desserts, Beverages, Tea, Ice Cream"
Delhi 27,+919354338729,"North Indian, Mughlai, Chinese"
Third Roast,+919953064988,"Bakery, Desserts, Coffee"
New Shop 24 Hours,+918800841193,"North Indian, Sandwich, Burger, Wraps, Fast Food, Street Food"
Chaubara,+919310441809,"Fast Food, Burger, Momos, Street Food, Chinese, Desserts, Shake, Beverages"
Cafe Healthy High By Nirula's,+919811181836,"Healthy Food, Grilled Chicken, Salad, Sandwich, Wraps, Pizza, Burger"
Super Cups,+918527482788,"Cafe, Coffee, Sandwich, Fast Food, Ice Cream, Desserts, Shake, Tea"
Saycake,+917827900904,"Bakery, Desserts, Rolls, Street Food"
Sweet Truth - Cake and Desserts,+917710055553,"Desserts, Bakery, Ice Cream"
Bengal Sweet Corner,+919711015065,"Mithai, South Indian, Chinese, Fast Food, North Indian"
Guruprasad Udupi Restaurant,+919650689760,"North Indian, South Indian, Chinese, Desserts, Juices, Shake, Beverages, Ice Cream"
Juggernaut,+911141319991,"South Indian, North Indian, Fast Food, Street Food, Desserts, Bakery, Beverages"
Whipped,+916366448868,"Bakery, Desserts, Sandwich, Ice Cream, Coffee, Beverages"
Keventers - Milkshakes & Desserts,+919004715112,"Ice Cream, Desserts"
Veg Gulati,+911141688831,"North Indian, Salad, Desserts, Beverages"
Havmor Ice Cream,+919810031646,Ice Cream
Cafe Crew Brew,+919891045891,"Coffee, Continental, Sandwich, Fast Food, Desserts, Tea"
Kwality Wall's Ice Cream And More,+919810232305,"Ice Cream, Desserts"
Nothing Before Coffee,+919971914342,"Coffee, Fast Food, Street Food, Desserts"
I Am Momo's,+918882027726,"Momos, Pasta, Burger, Fast Food"
Chinese Time,+919310807257,"Chinese, Fast Food"
Sethi Fruit Juice & Ice Cream,+919136111346,"Ice Cream, Desserts, Beverages, Shake"
Go Zero - Ice Creams & Desserts,+912250629336,"Ice Cream, Desserts"
Kulfi & Milshakes Co.,+919716208886,"Ice Cream, Desserts, Shake"
The Juice Hut,+919811300113,"Beverages, Ice Cream"
Wafflenama,+917827380633,"Waffle, Pancake, Desserts, Shake, Beverages"
Carnatic Cafe,+919667180766,"South Indian, Beverages"
The Buzz About Burgers,+918882027726,"Fast Food, Burger, Beverages, Chinese"
Cafe 99,+918178722263,"Burger, Waffle, Wraps, Fast Food, Shake, Beverages"
The Big Chill Cakery,+911140041500,"Bakery, Desserts"
Oval Bean Cafe,+918468813866,"Cafe, Fast Food, Sandwich, Desserts, Shake, Beverages"
Dice Cafe,+919266063206,South Indian
Starbucks Coffee,+919643205919,"Cafe, Coffee, Beverages"
Gulab,+919310100002,"Mithai, North Indian, South Indian, Street Food, Chinese, Desserts, Beverages"
Cafe 9,+919599335519,"Continental, North Indian, Mughlai, Chinese, Fast Food, Desserts, Ice Cream"
Indie Tadka by Veg Gulati,+919899060951,"Chinese, Street Food"
Arya Bhavan,+918006698006,"South Indian, Street Food, Beverages, Shake"
Excellent Dumpling House,+919625434609,"Chinese, Momos"
Momos Junction,+919318415130,"Momos, Burger, Pizza, Chinese, Biryani, Fast Food, North Indian"
Baskin Robbins - Ice Cream Desserts,+911146536743,"Ice Cream, Desserts, Beverages"
Southern Masala,+918759005900,"South Indian, North Indian, Chinese, Ice Cream, Desserts, Beverages"
Havmor Ice Cream,+918851890560,Ice Cream
Bikanervala,+919717744986,"Mithai, North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages, Desserts"
Nothing Before Coffee,+919625454945,"Cafe, Coffee, Fast Food, Desserts, Shake, Tea, Beverages"
Lucky Juice & Shakes,+919953095480,"Juices, Beverages"
Sindhi Pakode,+918800450460,Street Food
NOTO - Ice Creams & Desserts,+919999072265,"Ice Cream, Mithai, Desserts"
The Chai Factory,+919315770194,"Tea, Beverages, Fast Food, Desserts"
Nirula's,+918448489951,"Ice Cream, Pizza, Fast Food, Momos, Shake, Sandwich, Rolls, Burger"
"Gianis - Ice Cream, Shakes & Sundaes",+911143550122,"Ice Cream, Shake, Desserts"
Vadilal Ice Creams,+919560314203,"Ice Cream, Desserts, Shake"
Apsara Ice Creams,+918424887410,Ice Cream
Saravana Bhavan,+911123317755,"South Indian, Desserts, Juices, Shake, Beverages"
Mr. Brown,+917703988331,"Bakery, Fast Food, Desserts"
