Name,Phone Number,Tags
Amritsari Kulccha Corner,+919717741112,"North Indian, Street Food, Beverages, Chinese"
Dosa Coffee,+919310529165,"South Indian, Beverages"
Liv Bar,+919599029642,"Italian, Continental, Beverages, Bar Food"
Breakin' Brew,+919818188945,"Cafe, Coffee, Chinese, Continental, Italian, Pasta, North Indian, Desserts"
Habidade,+918799779389,"Cafe, Asian, Continental, North Indian, Beverages, Thai, Coffee, Chinese"
Shagun Sweets,+919899500656,"Mithai, Street Food, Desserts, Ice Cream"
Gola Sizzlers - Naresh Gola Group,+919871763399,"North Indian, Mughlai, Chinese, Italian, Biryani, Fast Food, Momos, Beverages"
Wabi Sabi,+919718788890,"Fast Food, Bakery, Desserts"
Dilli BC,+919560883322,"North Indian, Mughlai, Biryani, Rolls"
Love Over Coffee,+919818825064,"Coffee, Tea, Cafe, Beverages, Italian, Pizza, Sandwich, Pasta"
Wenger's Deli,+911123328589,"Pizza, Pasta, Burger, Sandwich, Hot dogs, Panini, Salad"
Solanas Chinese & Thai,+919999516139,"Chinese, Thai, Sushi, Momos"
Vikas Foods,+911127025181,"North Indian, Mughlai"
The Establishment - Clubhouse & Kitchen,+917669012224,"Italian, Continental, Modern Indian, Asian, Sushi, Pizza, Beverages, Salad"
The Salt Cafe Kitchen & Bar,+918130828293,"North Indian, Mughlai, Continental, Asian, Pizza, Pasta, Chinese, Salad"
Echoes,+918743996500,"Pizza, Coffee, Momos, Burger, Pasta, Shake, Chinese"
Neighbourly - Cafe Delhi Heights,+919643554033,"Cafe, Coffee, Italian, Continental, North Indian, Chinese, Desserts, Beverages"
Black Cafe,+919560945588,"North Indian, Italian, Fast Food, Continental, Chinese, Beverages, Shake"
SAZ - American Brasserie,+919821868288,"American, Italian, Mexican, Burger, Pizza, Fast Food, Salad, Beverages"
Bhalla King,+917838736396,"North Indian, Chinese, Street Food, Fast Food, Beverages"
Chili's Grill & Bar,+919650082466,"Mexican, Pizza, Pasta, American, Burger, Tex-Mex, Desserts"
Curry House CoCo Ichibanya,+919311808887,"Japanese, Seafood, Salad"
Pa Pa Ya,+918068972836,"Asian, Chinese, Thai, Japanese, Sushi, Malaysian, Beverages"
Brewin Cafe,+918287910490,"Fast Food, Desserts, Shake, Beverages"
AB's - Absolute Barbecues,+917337383766,"North Indian, BBQ, Biryani"
The Secret Garden At Music & Mountains,+919873160659,"Italian, Continental, Burger, Desserts"
Kaffee Stories,+919711646323,"Cafe, Coffee, Chinese, Momos, Salad, Beverages"
Call Chotu - All Day Diner & Bar,+919910841526,"North Indian, Chinese, Thai, Street Food, Maharashtrian, Momos, Bakery, Ice Cream"
Bean Brew & Beyond,+919560544166,"Cafe, Coffee, Continental, Sandwich, Fast Food, Bakery, Desserts, Beverages"
Loca,+919111009926,"Mediterranean, Continental, Italian, Bar Food, Pizza, Pasta, Desserts, Beverages"
The China Kitchen - Hyatt Regency,+911166771334,"Chinese, Asian, Sichuan, Seafood, Beverages, Desserts"
Kuuraku,+919818055080,"Japanese, Sushi, Beverages, Grilled Chicken"
Delilah's Cafe,+917009090922,"Continental, Pizza, Desserts"
Yi Jing - Sheraton New Delhi,+911142661122,"Chinese, Asian, Rolls, Seafood, Desserts"
Grubsoul Seafoods,+919289904406,"Seafood, North Indian"
Johnnie's House,+919821117285,"North Indian, Italian, Oriental, Kebab, Fast Food, Bar Food, Salad, Chinese"
Natural Ice Cream,+911143785502,"Ice Cream, Shake"
Paavanam,+917428498181,"South Indian, Beverages"
Qureshi Kabab Corner,+919711693200,"Mughlai, Kebab, Rolls"
Dasaprakash,+918595673154,"South Indian, North Indian, Chinese"
Colocal Indian Origin Chocolates,+919903987734,"Cafe, Salad, Continental, Italian, Pizza, Burger, Sandwich, Desserts"
VietNom,+919773802228,"Vietnamese, Asian, Healthy Food, Desserts, Beverages"
Oishii Wok,+91 8068974408,"Asian, Chinese, Japanese, Sushi, Korean, Thai, Beverages"
Gulati,+911145614378,"North Indian, Mughlai, Biryani, Kebab, Desserts, Beverages"
The Blue Bar - Taj Palace,+911166503665,Finger Food
"Cocktails & Dreams, Speakeasy",+911244116070,"Finger Food, Tibetan, Thai, Beverages"
Toscano,+917022305471,"Italian, Pasta, Pizza, Steak, Desserts, Coffee"
Tasty Noodle Twist,+919354107974,"Chinese, Japanese, Continental, Asian, Seafood, Thai"
Cafe DEM - Restaurant & Bar,+918447948808,"North Indian, Mughlai, Kebab, Chinese, Pizza, Continental, Desserts, Beverages"
Threesixtyone Degrees - The Oberoi,+911242451234,"Asian, Continental, North Indian, Mughlai, Desserts, Beverages, Italian, Chinese"
The Great Kabab Factory - Radisson Blu Plaza,+917290001428,"North Indian, Mughlai, Kebab, Biryani, Continental, Chinese, Desserts, Beverages"
Green Mantis - Authentic Pan Asian,+918448815375,"Asian, Chinese, Sushi, Desserts, Beverages"
EBISU Fine Japanese Cuisine,+919311127741,"Japanese, Sushi, Seafood, Salad, Desserts"
Gopala,+918588833148,"Khaleeji, Street Food, Beverages"
VU The Penthouse Bar,+918595063182,"Continental, Asian, Pizza, Pasta, Mexican, Mediterranean, Beverages"
House of Migo,+919911182245,"Italian, Burger, Pizza, Pasta, Beverages, Coffee, Desserts"
Andrea's Eatery,+918588823873,"Asian, Salad, Sushi, Pizza, Pasta, Seafood, Desserts, Beverages"
The Salt Cafe,+917840011183,"Continental, Chinese, North Indian, Modern Indian, Lebanese, Japanese, Mediterranean, Italian"
Tease - Taj City Centre Gurugram,+919717276743,Finger Food
The Haven International Coffee House,+919717059002,"Cafe, Fast Food, Continental, Beverages, Desserts, Coffee, Shake"
Anardana,+919205600715,"North Indian, Mughlai, Biryani, Kebab, Chinese, Continental, Pizza, Desserts"
Little Italy,+918800798287,"Italian, Continental, Mexican, Pizza, Pasta, Desserts, Beverages"
Maamouche's Alchemy Bar,+919810621874,"Italian, Lebanese, Pizza, North Indian, Bar Food, Beverages"
1911 Restaurant - The Imperial,+911141116603,"North Indian, European"
Khi Khi,+919810608173,"Modern Indian, Bar Food, Continental, Desserts"
Dum-Pukht - ITC Maurya,+911126112233,"North Indian, Mughlai"
La Brezza - Jaypee Greens Golf & Spa Resort,+911206743000,Italian
Smile Tadka House,+919311857646,"North Indian, Mughlai"
Manhattan Bar & Brewery,+918800697549,"Finger Food, North Indian, Continental, Bar Food, Italian, Beverages"
House #309 By Sweet Obsession,+919210940047,"Cafe, Sandwich, Italian, Continental, Salad, Desserts, Beverages"
In The Punjab,+919310488086,"North Indian, Kebab, Mughlai"
Kathi Junction Company,+919555009241,"Rolls, Lebanese"
Grillardin,+919667715068,"European, Healthy Food, Modern Indian, Mediterranean, Desserts, Beverages"
Dandy - The Fio Bar,+919971005724,"European, Bar Food, Italian"
Doner Kebab House,+917982122330,"Kebab, Middle Eastern, Sandwich, Rolls, Fast Food, Desserts"
Inja,+918130805333,"Modern Indian, Japanese, Bar Food"
The Library - The Leela Palace,+911139331234,"Italian, Continental"
NAO - Next Asian Outing,+919971840750,"Korean, Asian, Chinese, Sushi, Desserts, Beverages"
Sindhi Corner,+919891395577,"Street Food, Desserts"
Kullhad Chai,+919312190999,"South Indian, North Indian, Street Food, Tea, Beverages"
Indus Flavour (Proudly Vegetarian),+919643286236,"North Indian, Chinese, Desserts"
La Vie Douce,+919910836657,"Continental, Italian, Desserts, European, Coffee, Cafe"
The Ivy,+919871449222,"Mediterranean, Continental, Pizza"
The Yellow Chilli,+918750565056,"North Indian, Mughlai, Chinese, Seafood, Biryani, Salad, Desserts, Beverages"
Indian Grill Room,+919910498787,"Mughlai, North Indian, Kebab, Desserts, Beverages"
Dear Uncle,+919650957142,"Pizza, Desserts, Beverages"
Bella Cucina - Le Meridien Gurgaon,+911244992007,"Italian, Continental, Desserts"
D Streat Cafe,+918826205528,"Chinese, Momos, Asian"
Ladera,+918447758631,"Continental, Mediterranean, European, Italian"
Italian Stories By Bhai-G,+919999988908,Italian
Raifu - Japanese Restaurant,+919958595898,"Japanese, Sushi, Desserts"
Chai Point,+918880141000,"Tea, Coffee, Beverages, Shake, Fast Food, Rolls, Desserts, Cafe"
The Big Chill Cakery,+911206133266,"Bakery, Desserts"
Bakes N Berries,+919999970202,"Sandwich, Mexican, Bakery, Beverages, Desserts"
Gut Gullie,+918558881898,"Salad, Pizza, Fast Food"
Kaarobaar : The Modern - Desi Bistro,+918287450906,"Fast Food, North Indian, Mughlai, Kebab, Italian, Beverages"
Edify Cafe - Where Health Meets Taste,+918800704051,"Healthy Food, Cafe, Continental, Italian, Sandwich, Pasta, Pizza, Beverages"
Jalsa Indian And Ladakhi Kitchen,+919910997178,"Tibetan, Chinese, North Indian"
Sana - Di - Ge,+919560095974,"North Indian, South Indian, Goan, Mangalorean, Kerala, Desserts, Beverages"
Los Amigo's Cafe,+918882008483,"Fast Food, Pizza, Healthy Food, Asian, Beverages, Desserts, Cafe, Coffee"
Greenr Cafe,+917042575339,"Cafe, Salad, Pizza, Pasta, Healthy Food, Desserts, Beverages"
The Grills Food Junction,+919811109945,"North Indian, Chinese, Biryani, Fast Food, Desserts, Beverages"
Cayenne The House Of Spice,+919899721120,"North Indian, Mughlai, Chinese, Biryani, Desserts, Shake, Beverages"
Mount Fuji Japanese Pan Asian Restaurant & Bar,+918100474746,"Japanese, Asian, Chinese, Thai, Sushi, Seafood, Desserts, Beverages"
Hale And Hearty,+919272303000,"Cafe, Healthy Food, Continental, Sandwich"
PJ's Italian Kneads,+918920826063,"Italian, Pizza, Pasta, Sandwich, Fast Food, Beverages"
The Oberoi Patisserie And Delicatessen,+911242451234,"Bakery, Desserts"
Cafe Lota,+917838960787,"Cafe, South Indian, North Indian, Beverages"
KAP's Restro Bar & Cafe,+919971110884,"North Indian, Chinese, Seafood, Sandwich, Pizza, Fast Food, Desserts, Beverages"
Red,+918527274562,Asian
New York Slice,+911244570596,"Pizza, Sandwich, Pasta, Fast Food, Shake, Beverages"
Suprasaad,+919311139801,"North Indian, South Indian"
Shalom Cafe,+919354459674,"Asian, Oriental, Continental, Italian, Middle Eastern, North Indian, Desserts, Beverages"
Reflex,+918515898989,"North Indian, Continental, Chinese, Italian, European, Sushi, Biryani, Beverages"
Neung Roi - Radisson Blu Plaza Delhi Airport,+919911864631,"Thai, Asian, Sushi, Desserts, Chinese"
Cyber Hub Social,+917838045182,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Korean, Beverages"
Clock Tower,+919599199314,"Bar Food, North Indian, Asian, Pizza, Pasta, Continental, Beverages"
Bhawan,+918178539537,"Modern Indian, Bar Food, Mithai, North Indian, Desserts, Beverages"
Cafe Athyeka,+918700229498,"South Indian, Andhra, Biryani, Street Food"
Baba's,+919818944050,"North Indian, Mughlai, Chinese, Kebab, Biryani, Seafood, Desserts, Beverages"
Silbuttah - The Indian Story by Berco's,+919599620282,"North Indian, Mughlai, Kebab"
Zaffran By Kasbah,+918588854072,"North Indian, Mughlai, Biryani"
San Gimignano - The Imperial,+911141116608,Italian
Havemore,+917982685517,"North Indian, Mughlai, Biryani, Beverages"
Home,+919810322053,"Modern Indian, European, Japanese, Desserts"
Belisario,+918860608260,"Continental, European, Oriental, Italian, Asian, Desserts"
Roasted By Roseate,+919871200654,"Cafe, Coffee, Beverages, Sandwich, Bakery, Fast Food"
Dakshin - Sheraton New Delhi Hotel,+911142661122,"South Indian, Kerala, Andhra, Tamil, Biryani"
eleved,+919319977751,"Cafe, Coffee, Tea, Continental, Healthy Food, Modern Indian, South Indian, Juices"
Cafe Le Amor,+918003755666,"Continental, Fast Food, Beverages"
Frontier - The Ashok,+911126110101,"North Indian, Mughlai, Beverages"
Seoul Restaurant,+911141003848,"Korean, Japanese, Beverages"
High Spirits - Hilton Garden Inn,+919811256642,"Continental, North Indian, American"
Bo Tai,+919870587770,"Thai, Japanese, Asian, Salad, Beverages"
Roastery Coffee House,+918929649344,"Cafe, Continental, Burger, Pasta, Pizza, Salad, Desserts, Beverages"
Cocopots,+911161382821,"Cafe, Bakery, Fast Food, Italian, Beverages"
Rabbit Lee Cafe,+919718368043,"Burger, Pizza, Sandwich, Pasta, Fast Food, Waffle, Desserts, Beverages"
Pasta Xpress,+919891339938,"Pasta, Pizza, Burger, Sandwich, Fast Food"
Roesia,+919355885523,"Italian, Oriental, North Indian, Desserts, Asian, Continental, Mediterranean, "
Kwality,+918800499928,"North Indian, BBQ, Mughlai, Finger Food, Desserts, Beverages"
Say Fontina,+918009007059,"Continental, Italian, Burger, Pizza, Pasta, Healthy Food, Desserts, Beverages"
Pinch Of Spice,+919311966696,"North Indian, Mughlai, Chinese, Continental, Fast Food, Biryani, Desserts, Pasta"
Talli Station,+918800593966,"North Indian, Chinese, Biryani, Kebab, Mexican, Seafood, Beverages, Ice Cream"
Motown - Detroit Style Pizza,+917678177124,"Pizza, Fast Food, Salad, Italian, Beverages"
Indian Accent,+919871117968,"Modern Indian, North Indian, Beverages"
64/6 - Country Inn & Suites By Radisson,+918800798288,"North Indian, Chinese, Thai, Continental"
Bakerz Lodge,+917838321188,"Bakery, Desserts, Fast Food, Street Food, Sandwich, Cake"
Cilantro - Trident Gurgaon,+911242450505,"Asian, Continental, North Indian, Mughlai, Italian, Chinese, Desserts, Beverages"
Dhaba - Estd 1986 Delhi,+919560934009,"North Indian, Desserts"
Theos,+918750232227,"Bakery, Desserts, Sandwich, Beverages"
Honey & Dough,+919625314849,"Cafe, Bakery, Continental, Fast Food, Pizza, Beverages, Desserts"
Pinch Of Spice,+919990677800,"North Indian, Chinese, Italian, Asian, Biryani, Seafood, Desserts, Beverages"
Ottimo At West View - ITC Maurya,+911126112233,"European, Italian"
Spezia Bistro,+919625936660,"Italian, Fast Food, Sushi, Pizza, Pasta, Momos, Burger, Beverages"
House Of Wok Prive,+917042730202,"Asian, Sushi, Chinese, Thai, Japanese, Seafood"
The Chai Story,+918287299223,"Cafe, Tea, Beverages, Pizza, Sandwich, Pasta, Fast Food, Desserts"
STORY Club And Lounge - The Westin Gurgaon,+919899191917,"Continental, North Indian, Italian, Asian"
Zambar,+911244665639,"South Indian, Seafood, Andhra, Desserts, Beverages"
Devan's,+911124611474,"Coffee, Tea"
Foxtrot,+911244269209,"Continental, Italian, European, Modern Indian, North Indian, Beverages"
Food Peddler,+919999321018,"Burger, Pizza, Momos, Street Food, Fast Food, Chinese, Desserts, Beverages"
Connexions Bar - Crowne Plaza,+911144884460,"Finger Food, Pizza"
Flow Brew & Dine,+919899199138,"European, Asian, Japanese, Pasta, Pizza, North Indian, Desserts, Beverages"
Masia - Indian. Asian. Cultures,+919289480700,"North Indian, Asian, Sushi, Thai, Desserts, Beverages"
Shibuya Food & Bar,+919717820063,"Japanese, Asian, Thai, Chinese, Sushi, Salad"
Miss Doozy,+918800597072,"North Indian, Biryani, Italian, Bar Food, Chinese, Shake, Beverages"
The Biryani House,+918700050862,"Biryani, North Indian, Mughlai, Desserts, Beverages"
Kylin Experience,+911142042515,"Asian, Chinese, Japanese, Sushi, Thai, Desserts, Beverages"
Sadda Swad,+919999009120,"North Indian, Mughlai"
Honk - Pullman New Delhi Aerocity,+919871666600,"Vietnamese, Thai, Burmese, Japanese, Malaysian, Chinese, Korean"
Tamra - Shangri-La Eros New Delhi,+919599787836,"North Indian, Continental, European, Asian, American, Desserts, Beverages, Shake"
Kulcha Kulture,+918755346299,"North Indian, Sandwich, Shake, Beverages"
Pirates of Grill,+917428085102,"Chinese, Asian, Oriental, North Indian, Salad, BBQ, Desserts"
Pasta Street,+919266844027,"Italian, Pasta, Pizza, Continental, Salad, Healthy Food, Desserts, Beverages"
Tossin Pizza,+917838434434,"Pizza, Italian, Pasta, Shake, Beverages, Desserts, Fast Food"
Big Yellow Door,+917011451925,"Cafe, Italian, Continental"
Orient Express - Taj Palace,+911126110202,"European, Seafood, Desserts"
Cafe Doma,+919870319480,"Korean, Asian, Beverages"
Crepe-fe,+919999035222,"Desserts, Waffle, Pizza, Fast Food, Pancake, Beverages"
Punjabi Angithi - Fine Dine By Vegorama Group,+919873361843,"North Indian, Chinese, Biryani, Momos, Fast Food, Desserts, Beverages"
Chard - Burgers Grill And Bar,+918368569532,"Burger, Continental, Coffee, Ice Cream, Beverages"
MEGU - The Leela Palace,+911139331234,"Japanese, Sushi"
Sevilla - The Claridges,+911139555096,"Moroccan, European, Mediterranean, Pizza, Desserts, Seafood"
Pot Pot - Yum Indian Dining,+919811001419,"North Indian, Andhra, Biryani, Modern Indian, Desserts, Beverages"
Mezze Mambo,+919711026452,"Cafe, Mediterranean, Middle Eastern, Kebab, Arabian, Desserts, Beverages"
Pling Bar,+919871666600,"Bar Food, Continental"
The Grammar Room,+918130288558,"Continental, Salad, Fast Food, Beverages, Desserts"
Thai Pavilion - Taj City Centre Gurugram,+917760350469,"Thai, Asian, Seafood, Desserts, Japanese, Sushi"
Sugandh,+911123273578,North Indian
Kulchafied,+918826314766,"North Indian, Beverages"
China Bowl,+919811335132,"Chinese, Thai, Asian, Momos"
Temple Street,+918527082708,"North Indian, South Indian, Street Food, Biryani"
Coffee Tales By Cyclists,+919810065011,"Cafe, Beverages, Sandwich, Italian, Rolls, Salad, Bakery, Desserts"
Yangkiez by MoMo MaMi,+919318412363,"Momos, Chinese, Sichuan, Asian"
Amaltas - Indian Tapas & Bar,+918595324189,"North Indian, Modern Indian, Beverages"
La Dolca,+919319119509,"Bakery, Desserts, Beverages"
Cafe Belong,+919953395955,"Cafe, Coffee, Beverages, Continental, Pizza, Sandwich, Fast Food, Desserts"
All India Parantha Trail,+919871078235,North Indian
TBSP - Tablespoon,+919821002551,"American, Italian, Desserts, BBQ, Pizza, Pasta, Burger"
Hahn's Kitchen,+918287935960,"Korean, Sushi, BBQ, Chinese, Beverages"
Green House - The Beer Garden,+919582056777,"Oriental, European, Mediterranean, North Indian, Mughlai, Fast Food, Salad, Chinese"
Lord Of The Drinks Chamber,+919999109755,"Chinese, North Indian, Continental, Mughlai, Beverages"
Mala - Akbari,+919887868273,"North Indian, South Indian, Seafood, Desserts, Beverages"
Brick N Bean Café Kitchen,+919319415004,"Cafe, European, Italian, Finger Food, Beverages, Desserts, Bar Food"
Tan Coffee,+919166663389,"Cafe, Coffee, Beverages, Pizza, Sandwich, Burger, Fast Food, Salad"
The Saffron Boutique,+918130777320,"North Indian, Mughlai, Biryani, Oriental, Chinese, Continental, Kebab, Beverages"
Kiara Soul Kitchen,+918587904000,"North Indian, Chinese, Sushi, Asian, Healthy Food, Salad, Desserts, Beverages"
BrewHouse- Radisson Blu Kaushambi,+918744050650,"North Indian, Continental"
Kebabs & Curries Company,+919549404777,"North Indian, Kebab, Chinese, Biryani, Rolls, Mughlai"
The Beer Cafe,+911244928191,"North Indian, Italian, Beverages"
Eleven Course,+919990222208,"North Indian, Chinese, Italian, Mexican, Lebanese, Desserts, Beverages"
Sibang Bakery,+919811268210,"Bakery, Tea, Shake, Beverages"
Laidback Cafe,+918178207557,"Asian, Oriental, Continental, Italian, Middle Eastern, North Indian, Desserts, Beverages"
Downtown Fresh Beer Cafe- Galleria Market,+918527009985,"North Indian, Oriental, European, Pizza, Rolls, Salad, Bar Food, Beverages"
Pizza AHAA,+917042545577,"Pizza, Pasta, Fast Food"
Crudo The Juicery,+911244388878,"Juices, Shake, Beverages, Healthy Food, Salad, Wraps"
Rooh,+917303600299,"Modern Indian, North Indian, Desserts, Beverages"
Grotto - Authentic Woodfired Pizzas,+919910908290,"Cafe, Pizza, Italian, Coffee, Beverages"
